City,Max Temperature,Cloudiness,Latitude,Longitude,Country,Wind Speed,Humidity,Dates
San Patricio,66.2,20,28.017,-97.5169,US,11.5,88,1612497551
Ugoofaaru,81.7,99,5.6667,73.0,MV,8.34,70,1612497792
Salto,69.01,0,-31.3833,-57.9667,UY,7.0,72,1612497733
Tasiilaq,23.0,40,65.6145,-37.6368,GL,4.61,80,1612497792
Vao,78.91,0,-22.6667,167.4833,NC,15.08,88,1612497777
Jūybār,37.4,0,36.6412,52.9124,IR,2.3,93,1612497793
Cam Ranh,82.4,20,11.9214,109.1591,VN,13.8,54,1612497793
Sørland,37.09,100,67.667,12.6934,NO,18.95,77,1612497793
Chui,65.05,83,-33.6971,-53.4616,UY,12.84,81,1612497779
Havøysund,26.6,75,70.9963,24.6622,NO,5.75,93,1612497793
Cabo San Lucas,73.99,20,22.8909,-109.9124,MX,6.91,46,1612497732
Saint-Philippe,82.99,75,-21.3585,55.7679,RE,10.36,69,1612497793
Prince Rupert,39.2,75,54.3161,-130.3201,CA,12.66,93,1612497598
Kumul,35.83,0,42.8,93.45,CN,2.91,71,1612497793
Tuy Hoa,76.17,57,13.0833,109.3,VN,11.9,77,1612497792
Caravelas,76.5,0,-17.7125,-39.2481,BR,7.36,85,1612497794
Saýat,42.8,0,38.7839,63.8803,TM,9.22,81,1612497794
Beyneu,41.11,95,45.3167,55.2,KZ,10.8,79,1612497794
Dzilam González,68.47,0,21.2833,-88.9333,MX,8.34,75,1612497794
Dwārka,71.42,0,22.2394,68.9678,IN,14.25,43,1612497794
Ocara,76.51,100,-4.4908,-38.5967,BR,4.12,87,1612497794
Sitka,39.2,40,57.0531,-135.33,US,10.36,65,1612497794
Miles City,23.0,40,46.4083,-105.8406,US,4.61,68,1612497795
Souillac,82.4,40,-20.5167,57.5167,MU,11.5,65,1612497795
Cap Malheureux,82.99,2,-19.9842,57.6142,MU,4.0,69,1612497795
Namatanai,84.38,21,-3.6667,152.4333,PG,4.12,72,1612497795
Nhamundá,77.32,9,-2.1861,-56.7131,BR,2.77,78,1612497795
Esperance,64.4,90,-33.8667,121.9,AU,14.97,52,1612497795
Deputatsky,-25.94,88,69.3,139.9,RU,3.42,88,1612497795
Mokhsogollokh,-24.72,93,61.4681,128.9203,RU,4.76,84,1612497795
Nouadhibou,62.6,55,20.931,-17.0347,MR,4.61,94,1612497796
Río Gallegos,50.0,0,-51.6226,-69.2181,AR,20.71,53,1612497796
Alice Springs,77.0,90,-23.7,133.8833,AU,9.22,57,1612497796
Zhengjiatun,26.71,66,43.5064,123.5064,CN,8.39,94,1612497796
Saskylakh,-32.64,85,71.9167,114.0833,RU,0.72,81,1612497796
Biratnagar,74.01,0,26.4831,87.2834,NP,1.86,35,1612497796
Lagoa,54.19,54,39.05,-27.9833,PT,20.98,69,1612497796
Arlit,60.12,28,18.7369,7.3853,NE,6.13,30,1612497796
Qaqortoq,14.0,74,60.7167,-46.0333,GL,4.61,44,1612497796
Mehamn,24.8,40,71.0357,27.8492,NO,9.22,80,1612497797
São João da Barra,76.6,0,-21.6403,-41.0511,BR,17.9,84,1612497797
Kavaratti,81.5,58,10.5669,72.642,IN,10.47,73,1612497797
Narsaq,14.0,50,60.9167,-46.05,GL,4.61,44,1612497775
Hutchinson,26.6,1,38.0608,-97.9298,US,4.61,68,1612497750
Hambantota,77.0,40,6.1241,81.1185,LK,4.61,83,1612497797
Kaitangata,59.0,77,-46.2817,169.8464,NZ,15.01,72,1612497797
Nome,10.99,90,64.5011,-165.4064,US,17.27,72,1612497798
Bushenyi,62.55,86,-0.5853,30.2114,UG,1.16,85,1612497798
Kisanga,73.06,3,-7.4362,37.7034,TZ,0.72,89,1612497798
Clearwater,53.6,33,27.9659,-82.8001,US,3.44,76,1612497696
Port Lincoln,67.06,52,-34.7333,135.8667,AU,23.55,56,1612497798
Barinas,79.74,75,8.6226,-70.2075,VE,4.18,59,1612497798
Káloz,44.01,100,46.9546,18.4826,HU,4.0,60,1612497798
Sishui,52.09,100,35.6489,117.2758,CN,11.81,45,1612497798
Mashhad,35.6,0,36.297,59.6062,IR,3.38,51,1612497798
Hamilton,37.99,90,39.1834,-84.5333,US,11.5,93,1612497521
Adré,58.84,2,13.4667,22.2,TD,21.88,33,1612497799
Pangnirtung,5.88,98,66.1451,-65.7125,CA,2.84,88,1612497799
Kharan,54.55,0,28.5833,65.4167,PK,1.74,34,1612497799
Port Macquarie,87.01,2,-31.4333,152.9167,AU,3.0,54,1612497799
Honningsvåg,24.8,40,70.9821,25.9704,NO,9.22,80,1612497799
Saint Anthony,10.4,1,45.0205,-93.218,US,14.97,66,1612497799
Nordenham,32.0,99,53.5,8.4833,DE,8.05,93,1612497799
Nuuk,14.0,40,64.1835,-51.7216,GL,12.66,67,1612497799
Saint-Augustin,34.68,100,51.226,-58.6502,CA,14.38,97,1612497800
Bathsheba,78.8,40,13.2167,-59.5167,BB,18.41,65,1612497702
Faya,59.0,0,18.3851,42.4509,SA,8.05,44,1612497800
Taksimo,-4.34,100,56.3444,114.8794,RU,0.69,85,1612497800
Utinga,78.8,20,-5.8172,-35.3954,BR,5.75,83,1612497800
Saint-Prosper,24.8,98,46.2117,-70.4811,CA,3.44,86,1612497800
Barrow,-20.2,90,71.2906,-156.7887,US,10.36,69,1612497774
Saint Paul Harbor,24.8,1,57.79,-152.4072,US,8.05,80,1612497634
Touros,78.8,20,-5.1989,-35.4608,BR,9.22,78,1612497787
Mambolo,72.88,0,8.9231,-13.0444,SL,3.94,85,1612497801
Plyussa,9.25,91,58.4308,29.3654,RU,5.59,96,1612497801
Esil,32.18,100,51.9556,66.4042,KZ,10.63,98,1612497801
Ponta do Sol,50.0,92,32.6667,-17.1,PT,5.99,66,1612497786
Laas,39.99,0,46.6166,10.7002,IT,3.47,86,1612497801
Kortkeros,19.4,90,61.8106,51.5806,RU,4.47,86,1612497801
Biloela,91.53,50,-24.4167,150.5,AU,1.88,25,1612497613
Thinadhoo,82.26,100,0.5333,72.9333,MV,15.32,79,1612497801
Port-Gentil,81.52,84,-0.7193,8.7815,GA,7.83,80,1612497802
Dingle,82.94,83,10.9995,122.6711,PH,15.46,79,1612497620
Eureka,46.0,3,40.8021,-124.1637,US,5.28,84,1612497759
La Asuncion,76.95,91,11.0333,-63.8628,VE,16.55,85,1612497802
Vostochnyy,17.6,75,55.8167,37.8667,RU,15.66,79,1612497802
Ishigaki,73.4,20,24.3448,124.1572,JP,12.66,56,1612497604
Sabalgarh,61.09,13,26.25,77.4,IN,4.5,68,1612497802
Hearst,32.0,100,49.6835,-83.6665,CA,8.05,55,1612497802
Harper,78.22,62,4.375,-7.7169,LR,7.23,90,1612497801
Lavrentiya,-7.17,100,65.5833,-171.0,RU,18.77,90,1612497803
Homer,25.0,20,59.6425,-151.5483,US,3.44,93,1612497803
Ribeira Grande,55.22,51,38.5167,-28.7,PT,19.06,68,1612497763
Bambous Virieux,82.99,40,-20.3428,57.7575,MU,11.5,65,1612497803
Nanortalik,21.38,100,60.1432,-45.2371,GL,8.3,79,1612497803
Linjiang,34.29,40,41.8069,126.9078,CN,10.96,83,1612497803
Vallenar,64.2,76,-28.5708,-70.7581,CL,2.91,64,1612497803
Tuatapere,64.54,81,-46.1333,167.6833,NZ,7.02,59,1612497803
Salalah,69.8,40,17.0151,54.0924,OM,4.61,73,1612497712
Aklavik,-36.4,99,68.2191,-135.0107,CA,8.05,74,1612497804
Dikson,-14.26,99,73.5069,80.5464,RU,10.49,88,1612497804
Mangan,65.71,0,27.5167,88.5333,IN,5.3,25,1612497804
Bonthe,76.84,20,7.5264,-12.505,SL,5.99,88,1612497804
Canavieiras,75.81,0,-15.675,-38.9472,BR,6.49,90,1612497804
Balkanabat,53.04,100,39.5108,54.3671,TM,6.42,42,1612497804
Avera,50.0,1,33.194,-82.5271,US,9.22,46,1612497804
Roebourne,86.72,20,-20.7833,117.1333,AU,15.52,65,1612497805
Beringovskiy,-0.94,100,63.05,179.3167,RU,8.55,92,1612497805
Camacha,55.4,40,33.0833,-16.3333,PT,17.27,71,1612497785
Birjand,24.8,0,32.8663,59.2211,IR,4.61,24,1612497769
Nurota,39.2,100,40.5614,65.6886,UZ,11.5,75,1612497805
Leh,10.44,100,34.1667,77.5833,IN,0.2,66,1612497805
Loikaw,81.79,0,19.6742,97.2094,MM,2.35,31,1612497805
Saint-François,45.0,90,46.4154,3.9054,FR,3.44,93,1612497805
Oranzherei,39.2,90,45.8476,47.5663,RU,11.18,93,1612497806
Ninotsminda,24.8,40,41.2646,43.5916,GE,5.97,93,1612497806
Longyearbyen,19.4,75,78.2186,15.6401,SJ,10.36,68,1612497806
Uusikaupunki,3.2,0,60.8004,21.4084,FI,4.61,85,1612497806
Province of Groningen,36.0,90,53.25,6.75,NL,11.5,100,1612497806
Władysławowo,19.0,40,54.7909,18.4009,PL,2.3,93,1612497806
Shubarshi,31.53,61,48.5872,57.1869,KZ,8.5,96,1612497806
Waddān,55.99,15,29.1614,16.139,LY,4.45,87,1612497807
Geraldton,80.6,75,-28.7667,114.6,AU,20.71,29,1612497807
Khatanga,-30.8,0,71.9667,102.5,RU,8.37,78,1612497807
Casambalangan,75.04,62,18.3765,122.1274,PH,11.97,73,1612497807
Ha Tinh,72.75,78,18.3333,105.9,VN,4.25,77,1612497808
Khanbari,65.59,0,27.3747,87.2039,NP,2.86,31,1612497808
Mīnāb,53.6,0,27.1467,57.0801,IR,4.61,71,1612497808
Los Llanos de Aridane,57.2,90,28.6585,-17.9182,ES,10.36,62,1612497779
Gemünden am Main,37.0,100,50.05,9.7,DE,3.78,94,1612497808
Baruun-Urt,13.73,21,46.6806,113.2792,MN,10.4,93,1612497808
Mitchell,14.0,20,43.7094,-98.0298,US,13.8,67,1612497753
Maroua,65.39,1,10.591,14.3159,CM,9.55,26,1612497809
Boden,19.4,90,65.8252,21.6886,SE,6.91,93,1612497809
Arvika,8.6,9,59.6553,12.5852,SE,8.05,92,1612497809
Arraial do Cabo,78.8,0,-22.9661,-42.0278,BR,20.71,73,1612497809
Mosquera,53.6,75,4.7059,-74.2302,CO,6.91,82,1612497809
São Bento,72.54,18,-6.2833,-37.75,BR,3.76,75,1612497809
Abadan,37.4,40,38.0507,58.2056,TM,6.91,65,1612497809
Morshansk,35.53,100,53.4435,41.8107,RU,5.68,98,1612497809
Mumford,79.63,6,5.2618,-0.759,GH,7.65,88,1612497809
Doha,66.2,0,25.2867,51.5333,QA,2.3,100,1612497768
Estrela,54.12,28,-28.0611,-50.9383,BR,2.84,99,1612497810
Starokostiantyniv,23.97,23,49.7576,27.2034,UA,12.24,93,1612497810
Sept-Îles,30.2,88,50.2001,-66.3821,CA,4.61,80,1612497810
Amapá,69.89,100,1.0,-52.0,BR,1.81,98,1612497810
Dutse,63.72,0,11.7594,9.3392,NG,8.86,28,1612497810
Cayenne,78.8,75,4.9333,-52.3333,GF,6.91,83,1612497810
Srednekolymsk,-8.14,87,67.45,153.6833,RU,14.52,85,1612497811
Jutaí,74.7,100,-5.1833,-68.9,BR,1.32,95,1612497811
Simão Dias,71.8,10,-10.7383,-37.8111,BR,7.45,90,1612497811
Ust-Tsilma,-2.76,100,65.441,52.1498,RU,8.63,92,1612497811
Sola,86.0,90,-13.8833,167.55,VU,6.15,84,1612497811
Butembo,60.35,98,0.15,29.2833,CD,2.77,81,1612497811
Baharly,52.18,88,38.4362,57.4316,TM,5.01,41,1612497811
Catabola,62.64,100,-12.15,17.2833,AO,3.27,91,1612497812
Alofi,82.4,90,-19.0595,-169.9187,NU,8.05,78,1612497812
Kununurra,91.4,75,-15.7667,128.7333,AU,3.44,62,1612497812
Nānākuli,71.6,75,21.3906,-158.1547,US,4.61,56,1612497812
Cherskiy,-6.65,99,68.75,161.3,RU,6.98,76,1612497812
Bud,30.0,100,39.447,-86.1758,US,20.11,86,1612497812
Lompoc,50.0,1,34.6391,-120.4579,US,5.75,93,1612497812
Yar-Sale,-22.65,1,66.8333,70.8333,RU,5.41,87,1612497813
Bayonet Point,53.6,1,28.3267,-82.6834,US,6.91,87,1612497813
Tocopilla,67.95,67,-22.092,-70.1979,CL,2.66,59,1612497813
Bondo,70.86,94,3.8146,23.6866,CD,3.44,79,1612497813
Namysłów,32.0,92,51.0759,17.7228,PL,1.01,87,1612497563
Kieta,85.37,4,-6.2167,155.6333,PG,5.32,70,1612497621
Balkhash,19.4,90,46.844,74.9804,KZ,4.47,93,1612497813
San Policarpo,81.64,98,12.1791,125.5072,PH,16.26,84,1612497813
Aswān,55.11,0,24.0934,32.907,EG,11.72,72,1612497772
Malbork,19.0,71,54.0359,19.0266,PL,3.69,90,1612497813
Bandarbeyla,71.56,7,9.4942,50.8122,SO,9.37,67,1612497814
Murgab,39.2,0,37.4966,61.9714,TM,4.61,70,1612497814
Saldanha,59.0,0,-33.0117,17.9442,ZA,3.44,82,1612497814
Kyshtovka,8.82,100,56.555,76.6271,RU,7.7,94,1612497814
Watrous,-2.2,98,51.6668,-105.4679,CA,9.22,78,1612497814
Ballarat,69.01,95,-37.5662,143.8496,AU,1.01,89,1612497814
New Norfolk,78.01,100,-42.7826,147.0587,AU,1.01,78,1612497815
Chizhou,51.35,99,30.6578,117.4831,CN,3.94,83,1612497815
Oktyabr'skiy,33.69,100,54.4815,53.471,RU,7.36,95,1612497815
Maraã,74.61,88,-1.8333,-65.3667,BR,1.3,96,1612497815
Salmās,35.6,75,38.1973,44.7653,IR,4.61,87,1612497815
Vardø,15.8,40,70.3705,31.1107,NO,11.5,79,1612497815
Carutapera,78.1,59,-1.195,-46.02,BR,6.38,88,1612497815
Dīg,59.49,1,27.4667,77.3333,IN,4.88,69,1612497815
Ahipara,68.7,100,-35.1667,173.1667,NZ,6.96,70,1612497803
Barbalha,77.0,0,-7.3111,-39.3042,BR,3.44,73,1612497598
Lachi,44.6,0,33.3833,71.3386,PK,4.61,81,1612497816
Bradford,43.0,100,53.7939,-1.7521,GB,1.88,99,1612497698
Santa Cruz de Barahona,75.06,1,18.2085,-71.1008,DO,2.19,80,1612497816
Gornopravdinsk,11.73,100,60.05,69.9,RU,6.4,96,1612497816
Smoky Lake,-4.0,81,54.1169,-112.4686,CA,8.05,84,1612497816
Jeremoabo,71.87,16,-10.075,-38.4808,BR,7.38,87,1612497816
Znamensk,42.24,92,48.5842,45.7338,RU,14.99,91,1612497816
Xuanzhou,51.06,99,30.9525,118.7553,CN,5.7,84,1612497817
Bac Lieu,85.08,44,9.285,105.7244,VN,11.3,57,1612497583
Pa Sang,84.99,20,18.5262,98.9394,TH,2.3,57,1612497817
Komsomolets,34.75,100,53.7453,62.0708,KZ,8.3,98,1612497817
Porgera,50.95,92,-5.4667,143.2,PG,2.28,100,1612497817
Nacozari,69.01,72,25.3366,-108.2574,MX,4.0,67,1612497817
Przhevalskoye,7.59,100,55.5093,31.8482,RU,6.8,95,1612497817
Thompson,-11.2,90,55.7435,-97.8558,CA,8.05,77,1612497817
Hasaki,50.0,20,35.7333,140.8333,JP,5.75,34,1612497818
Florence,52.0,75,43.7667,11.25,IT,1.14,93,1612497787
Balikpapan,84.2,20,-1.2675,116.8289,ID,2.3,84,1612497818
Muros,45.0,65,42.7762,-9.0603,ES,8.16,94,1612497818
Richards Bay,73.71,82,-28.783,32.0377,ZA,7.61,89,1612497818
Puro,81.91,58,12.4841,123.3827,PH,15.32,79,1612497818
Kichmengskiy Gorodok,3.97,100,59.9816,45.7854,RU,2.66,94,1612497818
Palmerston,77.0,75,-12.486,130.9833,AU,13.8,94,1612497818
Galle,80.01,42,6.0367,80.217,LK,4.29,76,1612497819
Muş Province,25.95,100,39.0,41.75,TR,0.36,97,1612497819
Cerro de Pasco,38.64,100,-10.6833,-76.2667,PE,2.73,99,1612497819
Upata,75.99,83,8.0086,-62.3989,VE,1.99,89,1612497819
Nanzhang,62.47,5,31.7765,111.8386,CN,4.25,30,1612497819
Barcelos,48.2,0,41.5388,-8.6151,PT,3.44,87,1612497629
Mineros,71.6,100,-17.1167,-63.2333,BO,4.61,83,1612497819
Magadan,-1.59,95,59.5667,150.8,RU,16.37,84,1612497791
Tabou,77.68,80,4.423,-7.3528,CI,6.82,92,1612497819
